Date,Close,Open,High,Low,Vol.,Change %
"Dec 29, 2015",431.9,420.1,432.2,418.0,22.02K,2.76%
"Dec 30, 2015",424.7,431.8,434.0,420.0,22.10K,-1.66%
"Dec 31, 2015",429.0,424.7,432.6,412.5,21.49K,1.02%
"Jan 01, 2016",434.0,429.0,436.5,426.3,12.97K,1.16%
"Jan 02, 2016",432.7,434.0,435.8,430.0,6.38K,-0.29%
"Jan 03, 2016",428.7,432.7,433.1,422.0,19.18K,-0.93%
"Jan 04, 2016",432.9,428.6,435.7,427.0,13.02K,0.99%
"Jan 05, 2016",431.8,432.9,434.9,428.2,11.22K,-0.24%
"Jan 06, 2016",428.0,431.8,432.2,425.0,8.74K,-0.89%
"Jan 07, 2016",459.0,428.9,461.9,427.1,55.66K,7.26%
"Jan 08, 2016",454.0,458.8,465.0,446.8,30.45K,-1.10%
"Jan 09, 2016",449.2,454.0,456.0,447.5,8.76K,-1.05%
"Jan 10, 2016",449.4,449.2,450.3,441.0,13.75K,0.03%
"Jan 11, 2016",449.3,449.4,452.5,443.6,14.81K,-0.02%
"Jan 12, 2016",432.0,449.3,449.6,429.3,20.66K,-3.83%
"Jan 13, 2016",431.1,432.0,436.4,416.4,33.24K,-0.22%
"Jan 14, 2016",429.3,431.1,434.9,426.0,13.30K,-0.42%
"Jan 15, 2016",358.9,429.3,429.4,358.0,123.88K,-16.40%
"Jan 16, 2016",388.4,359.0,392.4,353.2,74.07K,8.24%
"Jan 17, 2016",382.1,388.4,392.8,378.8,20.63K,-1.63%
"Jan 18, 2016",387.0,382.0,389.4,375.1,19.55K,1.30%
"Jan 19, 2016",379.0,387.0,388.4,377.4,17.19K,-2.09%
"Jan 20, 2016",419.4,378.9,428.0,375.0,82.80K,10.67%
"Jan 21, 2016",411.0,419.5,424.6,405.0,29.03K,-2.01%
"Jan 22, 2016",381.0,411.0,411.2,371.3,62.21K,-7.31%
"Jan 23, 2016",385.6,381.0,394.0,379.9,21.47K,1.21%
"Jan 24, 2016",402.8,385.6,407.0,385.1,23.22K,4.46%
"Jan 25, 2016",391.0,402.8,402.8,384.0,22.66K,-2.93%
"Jan 26, 2016",391.3,391.0,398.0,387.5,13.32K,0.09%
"Jan 27, 2016",395.0,391.3,397.0,389.7,8.54K,0.93%
"Jan 28, 2016",378.4,394.7,395.5,375.6,25.03K,-4.20%
"Jan 29, 2016",377.6,378.4,385.3,360.2,62.20K,-0.20%
"Jan 30, 2016",377.0,377.6,380.5,374.0,10.50K,-0.18%
"Jan 31, 2016",365.5,377.0,378.9,362.6,14.85K,-3.04%
"Feb 01, 2016",371.4,365.5,379.0,363.3,24.84K,1.62%
"Feb 02, 2016",372.9,371.4,374.8,369.9,10.44K,0.40%
"Feb 03, 2016",369.0,372.9,374.0,366.0,13.20K,-1.05%
"Feb 04, 2016",389.8,369.0,393.9,368.6,37.34K,5.64%
"Feb 05, 2016",386.5,389.8,392.6,384.5,16.90K,-0.84%
"Feb 06, 2016",373.8,386.5,386.5,366.4,40.20K,-3.31%
"Feb 07, 2016",372.0,373.7,377.8,369.2,13.06K,-0.47%
"Feb 08, 2016",370.5,372.0,376.7,369.1,16.88K,-0.41%
"Feb 09, 2016",374.0,370.5,377.6,370.3,9.08K,0.94%
"Feb 10, 2016",380.9,374.3,386.5,373.1,33.67K,1.85%
"Feb 11, 2016",378.0,380.9,383.0,372.3,14.52K,-0.76%
"Feb 12, 2016",383.0,378.0,383.5,377.1,10.15K,1.32%
"Feb 13, 2016",393.0,382.9,393.0,382.6,14.73K,2.61%
"Feb 14, 2016",408.3,393.0,408.7,393.0,29.47K,3.90%
"Feb 15, 2016",399.9,408.3,412.5,395.4,30.13K,-2.06%
"Feb 16, 2016",407.3,399.9,408.8,398.7,13.99K,1.84%
"Feb 17, 2016",414.9,407.3,421.7,405.3,30.40K,1.86%
"Feb 18, 2016",421.5,414.9,426.0,413.1,25.23K,1.60%
"Feb 19, 2016",420.0,421.5,422.5,412.0,13.26K,-0.36%
"Feb 20, 2016",438.7,419.8,445.0,419.7,47.48K,4.45%
"Feb 21, 2016",440.5,438.7,451.2,428.3,43.01K,0.41%
"Feb 22, 2016",440.3,440.5,442.5,433.4,16.34K,-0.05%
"Feb 23, 2016",421.1,440.3,442.6,416.3,32.43K,-4.35%
"Feb 24, 2016",426.4,421.4,427.5,410.7,22.43K,1.24%
"Feb 25, 2016",424.9,426.4,430.0,419.5,13.60K,-0.35%
"Feb 26, 2016",435.3,424.9,435.3,420.0,18.85K,2.45%
"Feb 27, 2016",434.2,435.5,438.0,431.8,11.59K,-0.25%
"Feb 28, 2016",434.5,434.2,437.8,422.1,19.86K,0.06%
"Feb 29, 2016",439.2,434.5,444.8,430.5,20.40K,1.08%
"Mar 01, 2016",434.8,439.2,442.8,428.5,19.63K,-0.99%
"Mar 02, 2016",422.2,434.8,436.3,421.1,16.46K,-2.90%
"Mar 03, 2016",420.6,422.1,424.4,416.4,20.87K,-0.39%
"Mar 04, 2016",408.8,420.6,424.0,407.7,21.75K,-2.79%
"Mar 05, 2016",397.4,408.8,410.1,389.7,46.95K,-2.80%
"Mar 06, 2016",403.9,397.4,409.5,392.0,19.71K,1.65%
"Mar 07, 2016",412.7,403.8,415.3,401.6,15.31K,2.18%
"Mar 08, 2016",411.4,412.6,415.9,406.0,10.23K,-0.33%
"Mar 09, 2016",412.9,411.4,414.5,407.8,9.03K,0.39%
"Mar 10, 2016",416.5,413.0,417.2,410.7,13.71K,0.86%
"Mar 11, 2016",420.5,416.5,423.6,415.5,15.46K,0.96%
"Mar 12, 2016",410.0,420.5,421.8,406.5,17.02K,-2.49%
"Mar 13, 2016",411.8,410.0,416.0,410.0,7.63K,0.44%
"Mar 14, 2016",416.0,411.9,417.9,411.8,9.21K,1.01%
"Mar 15, 2016",415.5,415.9,418.8,412.8,9.63K,-0.12%
"Mar 16, 2016",417.3,415.5,418.0,414.0,7.07K,0.43%
"Mar 17, 2016",418.8,417.3,420.6,416.7,8.31K,0.35%
"Mar 18, 2016",407.7,418.8,418.9,403.0,21.09K,-2.64%
"Mar 19, 2016",408.4,407.7,410.7,404.0,8.96K,0.17%
"Mar 20, 2016",411.3,408.4,413.0,407.9,5.66K,0.70%
"Mar 21, 2016",411.9,411.3,412.1,406.0,7.82K,0.15%
"Mar 22, 2016",417.7,411.9,418.7,409.9,10.20K,1.41%
"Mar 23, 2016",418.1,417.7,419.7,415.8,7.19K,0.10%
"Mar 24, 2016",415.3,418.1,418.1,414.0,7.56K,-0.67%
"Mar 25, 2016",416.0,415.3,417.0,413.0,3.69K,0.17%
"Mar 26, 2016",416.7,416.0,418.7,414.5,5.04K,0.17%
"Mar 27, 2016",427.4,416.7,431.0,415.8,22.33K,2.56%
"Mar 28, 2016",424.1,427.4,428.0,422.4,9.25K,-0.77%
"Mar 29, 2016",415.8,424.1,426.4,407.5,23.30K,-1.95%
"Mar 30, 2016",413.2,416.0,416.0,408.6,9.04K,-0.63%
"Mar 31, 2016",416.0,413.2,418.3,413.0,7.27K,0.68%
"Apr 01, 2016",417.6,416.0,417.6,414.0,5.41K,0.37%
"Apr 02, 2016",420.3,417.9,422.8,417.5,6.12K,0.66%
"Apr 03, 2016",420.6,420.3,421.7,417.6,4.25K,0.07%
"Apr 04, 2016",420.5,420.6,421.2,416.3,5.75K,-0.03%
"Apr 05, 2016",423.8,420.5,424.6,419.6,7.26K,0.78%
"Apr 06, 2016",422.6,423.8,424.5,421.7,5.68K,-0.28%
"Apr 07, 2016",422.3,422.6,422.9,417.8,7.73K,-0.07%
"Apr 08, 2016",418.5,422.3,424.5,415.5,9.85K,-0.90%
"Apr 09, 2016",418.5,418.5,418.8,412.0,6.33K,0.00%
"Apr 10, 2016",421.3,418.5,422.8,417.5,4.25K,0.68%
